BSC;SITENAME;BCF;TRE_NAME;FE_NUM;ODU_NAME;ODU_RX_MAX;ODU_RX_MIN;ODU_RX_CURRENT;ODU_RX_AVERAGE;ODU_CURRENT_TX_POWER;ODU_ALCQ;ODU_TX_FREQUENCY
DNEB5;KD0057;314;bsc715492_bcf314_4080;2;KD0057>KD0056;-38.28 dBm;-120.00 dBm;-41.9 dBm;-44.54 dBm;18;Off;22162000 (kHz)
DNEB5;KD0008;117;bsc715492_bcf117_4080;2;KD0008>KD0007;-34.90 dBm;-120.00 dBm;-48.1 dBm;-44.42 dBm;10;Off;23023000 (kHz)
DNEB5;KD0026;73;bsc715492_bcf73_4080;2;KD0026>KD0028;-39.97 dBm;-120.00 dBm;-48.3 dBm;-49.03 dBm;18;Off;22354500 (kHz)
DNEB5;KD0015;22;bsc715492_bcf22_4080;8;KD0015>KD0012;;;-42.8 dBm;;6;Off;22354500 (kHz)
DNEB5;KD0015;22;bsc715492_bcf22_4080;7;KD0015>KD9102;-33.81 dBm;-120.00 dBm;-48.7 dBm;-46.77 dBm;20;Off;14907000 (kHz)
DNEB5;KD0015;22;bsc715492_bcf22_4080;9;KD0015>KD0029;;;-37.2 dBm;;18;Off;22347500 (kHz)
DNEB5;KD0015;22;bsc715492_bcf22_4080;10;KD0015>KD0028;;;-46.6 dBm;;18;Off;22123500 (kHz)
DNEB5;KD0015;22;bsc715492_bcf22_4080;2;KD0015>KD0027;-37.19 dBm;-120.00 dBm;-45.2 dBm;-42.80 dBm;18;Off;22368500 (kHz)
DNEB5;KD0015;22;bsc715492_bcf22_4080;5;KD0015>KD0032;;;-38.7 dBm;;17;Off;22144500 (kHz)
DNEB5;KD9104;422;bsc715492_bsf422_4080;3;KD9104>KD0050;-39.04 dBm;-120.00 dBm;-50.2 dBm;-44.92 dBm;20;Off;14434500 (kHz)
DNEB5;KD9104;422;bsc715492_bsf422_4080;5;KD9104>KD9105;-38.41 dBm;-120.00 dBm;-53.3 dBm;-52.55 dBm;20;Off;14483500 (kHz)
DNEB5;KD0045;284;bsc715492_bcf284_4080;2;KD0045>KD0061;-35.93 dBm;-120.00 dBm;-44.2 dBm;-43.32 dBm;20;Off;14896500 (kHz)
